event_time,event_time_formatted,code,value,status,event_from,event_id
1766689480484,2025-12-25 14:04:40,liquid_depth,70,1,1,7
1766689479411,2025-12-25 14:04:39,liquid_depth,71,1,1,7
1766689478342,2025-12-25 14:04:38,liquid_depth,70,1,1,7
1766689477199,2025-12-25 14:04:37,liquid_level_percent,59,1,1,7
1766689477186,2025-12-25 14:04:37,liquid_depth,71,1,1,7
1766689474971,2025-12-25 14:04:34,liquid_level_percent,58,1,1,7
1766689474958,2025-12-25 14:04:34,liquid_depth,70,1,1,7
1766689473893,2025-12-25 14:04:33,liquid_level_percent,59,1,1,7
1766689473879,2025-12-25 14:04:33,liquid_depth,71,1,1,7
1766689471663,2025-12-25 14:04:31,liquid_level_percent,58,1,1,7
1766689471649,2025-12-25 14:04:31,liquid_depth,70,1,1,7
1766689470585,2025-12-25 14:04:30,liquid_level_percent,59,1,1,7
1766689470571,2025-12-25 14:04:30,liquid_depth,71,1,1,7
1766689468358,2025-12-25 14:04:28,liquid_level_percent,58,1,1,7
1766689468344,2025-12-25 14:04:28,liquid_depth,70,1,1,7
1766689467281,2025-12-25 14:04:27,liquid_level_percent,59,1,1,7
1766689467267,2025-12-25 14:04:27,liquid_depth,71,1,1,7
1766689198860,2025-12-25 13:59:58,liquid_depth,70,1,1,7
1766689106160,2025-12-25 13:58:26,liquid_level_percent,58,1,1,7
1766689105001,2025-12-25 13:58:25,liquid_level_percent,57,1,1,7
1766689103923,2025-12-25 13:58:23,liquid_level_percent,58,1,1,7
1766689101697,2025-12-25 13:58:21,liquid_level_percent,57,1,1,7
1766689085155,2025-12-25 13:58:05,liquid_level_percent,58,1,1,7
1766689078565,2025-12-25 13:57:58,liquid_level_percent,57,1,1,7
1766689077406,2025-12-25 13:57:57,liquid_level_percent,58,1,1,7
1766689075258,2025-12-25 13:57:55,liquid_level_percent,57,1,1,7
1766689074100,2025-12-25 13:57:54,liquid_level_percent,58,1,1,7
1766689071868,2025-12-25 13:57:51,liquid_level_percent,57,1,1,7
1766689070791,2025-12-25 13:57:50,liquid_level_percent,58,1,1,7
1766688857630,2025-12-25 13:54:17,liquid_depth,69,1,1,7
1766688856561,2025-12-25 13:54:16,liquid_depth,68,1,1,7
1766688839940,2025-12-25 13:53:59,liquid_depth,69,1,1,7
1766688761552,2025-12-25 13:52:41,liquid_level_percent,57,1,1,7
1766688760477,2025-12-25 13:52:40,liquid_level_percent,56,1,1,7
1766688759400,2025-12-25 13:52:39,liquid_level_percent,57,1,1,7
1766688758247,2025-12-25 13:52:38,liquid_level_percent,56,1,1,7
1766688757169,2025-12-25 13:52:37,liquid_level_percent,57,1,1,7
1766688756093,2025-12-25 13:52:36,liquid_level_percent,56,1,1,7
1766688754936,2025-12-25 13:52:34,liquid_level_percent,57,1,1,7
1766688753861,2025-12-25 13:52:33,liquid_level_percent,56,1,1,7
1766688752781,2025-12-25 13:52:32,liquid_level_percent,57,1,1,7
1766688751626,2025-12-25 13:52:31,liquid_level_percent,56,1,1,7
1766688750549,2025-12-25 13:52:30,liquid_level_percent,57,1,1,7
1766688749393,2025-12-25 13:52:29,liquid_level_percent,56,1,1,7
1766688748320,2025-12-25 13:52:28,liquid_level_percent,57,1,1,7
1766688747243,2025-12-25 13:52:27,liquid_level_percent,56,1,1,7
1766688746087,2025-12-25 13:52:26,liquid_level_percent,57,1,1,7
1766688745011,2025-12-25 13:52:25,liquid_level_percent,56,1,1,7
1766688743935,2025-12-25 13:52:23,liquid_level_percent,57,1,1,7
1766688742779,2025-12-25 13:52:22,liquid_level_percent,56,1,1,7
1766688741703,2025-12-25 13:52:21,liquid_level_percent,57,1,1,7
1766688740627,2025-12-25 13:52:20,liquid_level_percent,56,1,1,7
1766688739469,2025-12-25 13:52:19,liquid_level_percent,57,1,1,7
1766688738390,2025-12-25 13:52:18,liquid_level_percent,56,1,1,7
1766688737311,2025-12-25 13:52:17,liquid_level_percent,57,1,1,7
1766688736153,2025-12-25 13:52:16,liquid_level_percent,56,1,1,7
1766688735075,2025-12-25 13:52:15,liquid_level_percent,57,1,1,7
1766688733999,2025-12-25 13:52:13,liquid_level_percent,56,1,1,7
1766688731771,2025-12-25 13:52:11,liquid_level_percent,57,1,1,7
1766688730693,2025-12-25 13:52:10,liquid_level_percent,56,1,1,7
1766688728463,2025-12-25 13:52:08,liquid_level_percent,57,1,1,7
1766688727305,2025-12-25 13:52:07,liquid_level_percent,56,1,1,7
1766688725157,2025-12-25 13:52:05,liquid_level_percent,57,1,1,7
1766688723998,2025-12-25 13:52:03,liquid_level_percent,56,1,1,7
1766688721847,2025-12-25 13:52:01,liquid_level_percent,57,1,1,7
1766688720690,2025-12-25 13:52:00,liquid_level_percent,56,1,1,7
1766688718543,2025-12-25 13:51:58,liquid_level_percent,57,1,1,7
1766688717383,2025-12-25 13:51:57,liquid_level_percent,56,1,1,7
1766688693098,2025-12-25 13:51:33,liquid_level_percent,57,1,1,7
1766688626875,2025-12-25 13:50:26,liquid_level_percent,56,1,1,7
1766688625711,2025-12-25 13:50:25,liquid_depth,68,1,1,7
1766688624638,2025-12-25 13:50:24,liquid_level_percent,57,1,1,7
1766688624625,2025-12-25 13:50:24,liquid_depth,69,1,1,7
1766688623563,2025-12-25 13:50:23,liquid_level_percent,58,1,1,7
1766688623548,2025-12-25 13:50:23,liquid_depth,70,1,1,7
1766688608092,2025-12-25 13:50:08,liquid_level_percent,57,1,1,7
1766688606936,2025-12-25 13:50:06,liquid_level_percent,56,1,1,7
1766688605860,2025-12-25 13:50:05,liquid_level_percent,57,1,1,7
1766688604785,2025-12-25 13:50:04,liquid_level_percent,56,1,1,7
1766688603629,2025-12-25 13:50:03,liquid_level_percent,57,1,1,7
1766688602552,2025-12-25 13:50:02,liquid_level_percent,56,1,1,7
1766688601476,2025-12-25 13:50:01,liquid_level_percent,57,1,1,7
1766688600319,2025-12-25 13:50:00,liquid_level_percent,56,1,1,7
1766688599241,2025-12-25 13:49:59,liquid_level_percent,57,1,1,7
1766688598165,2025-12-25 13:49:58,liquid_level_percent,56,1,1,7
